Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATASTEEL,EQ,07-Sep-21,1437,1444,1459,1420.65,1421.5,1428.7,1439.4,6352717,9144123989,145446,1169405,18.41
TATASTEEL,EQ,08-Sep-21,1428.7,1426,1442.65,1418.6,1428,1429.85,1430.46,4676224,6689152681,114775,916268,19.59
TATASTEEL,EQ,09-Sep-21,1429.85,1420,1451.95,1420,1446.9,1447,1441.08,5313030,7656486788,137267,1376404,25.91
TATASTEEL,EQ,13-Sep-21,1447,1447,1472,1436.5,1470,1463.45,1451.62,5670208,8230985329,133505,1810526,31.93
TATASTEEL,EQ,14-Sep-21,1463.45,1476,1476,1449,1451.4,1452.3,1461.4,5503767,8043210156,133997,1378792,25.05
TATASTEEL,EQ,15-Sep-21,1452.3,1452.3,1463.7,1444.4,1453.05,1455.1,1454.4,4417464,6424749303,117061,1027992,23.27
TATASTEEL,EQ,16-Sep-21,1455.1,1460,1471.9,1431.25,1436.9,1436.75,1445.76,5606797,8106101676,148967,1744938,31.12
TATASTEEL,EQ,17-Sep-21,1436.75,1437,1440.3,1360,1382.8,1385.9,1387.18,19572030,27149960524,445794,7796326,39.83
TATASTEEL,EQ,20-Sep-21,1385.9,1350,1351.9,1247.35,1247.35,1253.1,1293,28238412,36512376240,680557,9761688,34.57
TATASTEEL,EQ,21-Sep-21,1253.1,1258,1296.9,1232.9,1296.5,1292.2,1263.43,25593540,32335688765,467449,6186655,24.17
TATASTEEL,EQ,22-Sep-21,1292.2,1299.4,1318,1283.1,1303,1305.8,1301.92,11124247,14482842666,263880,2114995,19.01
TATASTEEL,EQ,23-Sep-21,1305.8,1330,1339.45,1306.05,1315.5,1318.7,1320.33,9946251,13132342309,254153,2905454,29.21
TATASTEEL,EQ,24-Sep-21,1318.7,1320,1324,1258.45,1267,1272.1,1284.94,13286616,17072512018,302339,3696928,27.82
TATASTEEL,EQ,27-Sep-21,1272.1,1272,1288.7,1261.05,1270.35,1270.5,1274.03,8668877,11044379079,182487,2936978,33.88
TATASTEEL,EQ,28-Sep-21,1270.5,1273.45,1296.8,1263,1279,1280.95,1281.17,8100736,10378437351,155092,1805448,22.29
TATASTEEL,EQ,29-Sep-21,1280.95,1270,1309.8,1267.2,1293.8,1295.55,1290.68,9494577,12254427545,200121,2365838,24.92
TATASTEEL,EQ,30-Sep-21,1295.55,1303,1316.4,1283.85,1285.5,1288.9,1296.97,7514568,9746166694,158511,1936342,25.77
TATASTEEL,EQ,01-Oct-21,1288.9,1275,1311,1265,1294.05,1297.85,1294.19,9037470,11696219086,182801,1478665,16.36
TATASTEEL,BL,04-Oct-21,1181.9,1297.85,1297.85,1297.85,1297.85,1297.85,1297.85,676646,878185011.1,1,-,-
TATASTEEL,EQ,04-Oct-21,1297.85,1297.85,1327.75,1280.4,1322,1324.15,1307.13,9690237,12666404493,196296,2566425,26.48
TATASTEEL,EQ,05-Oct-21,1324.15,1314,1332.7,1310.15,1317.75,1316.85,1320.41,5795216,7652041814,113241,1477245,25.49
TATASTEEL,EQ,06-Oct-21,1316.85,1319.9,1328.6,1273.15,1274,1279.9,1298.51,8631693,11208369774,182555,2783077,32.24
TATASTEEL,EQ,07-Oct-21,1279.9,1295,1306.8,1283.55,1288.55,1289.2,1294.68,4603367,5959881711,100335,949075,20.62
TATASTEEL,EQ,08-Oct-21,1289.2,1302,1344.05,1296.35,1302.8,1301.15,1318.02,10722015,14131842228,209592,2156774,20.12
TATASTEEL,EQ,11-Oct-21,1301.15,1305,1327.35,1298,1314,1313.2,1313.46,6349658,8340010809,154072,2112120,33.26
TATASTEEL,EQ,12-Oct-21,1313.2,1313.2,1335,1305,1327.7,1329.1,1322.05,6097019,8060557067,127459,1772606,29.07
TATASTEEL,EQ,13-Oct-21,1329.1,1325.5,1376.55,1318.05,1356.5,1354.3,1357.3,13285718,18032705351,270178,4123819,31.04
TATASTEEL,EQ,14-Oct-21,1354.3,1374,1390.6,1354,1372.5,1375.05,1375.35,8227371,11315479685,225847,3086227,37.51
TATASTEEL,EQ,18-Oct-21,1375.05,1418,1424.75,1391.1,1408,1411.05,1412,10923230,15423638711,254274,3504738,32.09
TATASTEEL,EQ,19-Oct-21,1411.05,1421,1426.55,1357.55,1369,1366.9,1395.29,8756924,12218421091,181679,2702284,30.86
TATASTEEL,EQ,20-Oct-21,1366.9,1372,1376,1326.65,1344,1343.3,1352.99,6975774,9438143065,158821,1714535,24.58
TATASTEEL,EQ,21-Oct-21,1343.3,1356.7,1357.85,1289.7,1317,1314.7,1322.44,8357573,11052415948,180536,2402961,28.75
TATASTEEL,EQ,22-Oct-21,1314.7,1320,1324.65,1271,1295,1296.25,1295.44,8071289,10455863988,182525,2131212,26.4
TATASTEEL,EQ,25-Oct-21,1296.25,1302,1316,1267.25,1290.5,1293.3,1295.98,6418501,8318255046,146749,1602769,24.97
TATASTEEL,EQ,26-Oct-21,1293.3,1303,1351,1301.45,1347,1343.65,1327.59,7722875,10252844348,162605,2545299,32.96
TATASTEEL,EQ,27-Oct-21,1343.65,1346,1351.7,1321.25,1325,1326.15,1340.29,7241804,9706128183,136011,2979382,41.14
TATASTEEL,EQ,28-Oct-21,1326.15,1314.9,1315.95,1291.1,1299.2,1299.6,1300.93,9307682,12108636657,219433,4257093,45.74
TATASTEEL,EQ,29-Oct-21,1299.6,1290.25,1333.7,1290,1317.65,1315.95,1318.31,7914760,10434141530,203572,2660140,33.61
TATASTEEL,EQ,01-Nov-21,1315.95,1340,1372.9,1330,1362,1364.9,1357.99,9687533,13155551552,219727,2574953,26.58
TATASTEEL,EQ,02-Nov-21,1364.9,1370,1370,1310.8,1318,1313.65,1336.72,7216137,9645962699,149207,2856866,39.59
TATASTEEL,EQ,03-Nov-21,1313.65,1324.8,1332,1312,1326,1326.05,1322.5,5730244,7578272364,114824,1419427,24.77
TATASTEEL,EQ,04-Nov-21,1326.05,1331,1335,1324.1,1326.45,1325.9,1329.31,674434,896531428.4,24458,273069,40.49
TATASTEEL,EQ,08-Nov-21,1325.9,1340.9,1347.65,1306.1,1340.95,1343.25,1331.26,5493667,7313506276,129169,1489931,27.12
TATASTEEL,EQ,09-Nov-21,1343.25,1342.85,1360.3,1328.85,1337.4,1335.95,1343.01,4756516,6388069233,110877,1229957,25.86
TATASTEEL,EQ,10-Nov-21,1335.95,1328,1329,1287.1,1297.5,1298.55,1300.47,11880417,15450091711,295166,4047117,34.07
TATASTEEL,EQ,11-Nov-21,1298.55,1304.9,1324.5,1288.35,1300,1299.6,1306.58,13663860,17852875262,290972,4209885,30.81
TATASTEEL,EQ,12-Nov-21,1299.6,1340,1340,1271.1,1286.7,1287.25,1296.64,23239558,30133436225,493501,4362316,18.77
TATASTEEL,EQ,15-Nov-21,1287.25,1295,1299,1241.5,1244.5,1245.45,1264.54,12108215,15311346641,361479,3941538,32.55
TATASTEEL,EQ,16-Nov-21,1245.45,1245.45,1261.05,1223.7,1225.5,1228.8,1241.24,12314880,15285726670,305404,4615973,37.48
TATASTEEL,EQ,17-Nov-21,1228.8,1225,1237.4,1215.1,1217.5,1220.05,1225.21,8780204,10757564425,227497,2643373,30.11
TATASTEEL,EQ,18-Nov-21,1220.05,1223.6,1228.3,1182,1187.9,1186.6,1198.02,10108351,12110042265,265526,2583488,25.56
TATASTEEL,EQ,22-Nov-21,1186.6,1188.1,1196.8,1146,1166.8,1165.05,1174.23,9621001,11297225184,221574,3415264,35.5
TATASTEEL,EQ,23-Nov-21,1165.05,1168.05,1209,1165.15,1190.05,1192.05,1194.72,9382963,11210058495,215369,2284172,24.34
TATASTEEL,EQ,24-Nov-21,1192.05,1200.4,1202.95,1171.15,1173.5,1178.5,1192.33,6767101,8068650466,155600,1996960,29.51
TATASTEEL,EQ,25-Nov-21,1178.5,1180,1186.6,1166,1173.5,1173.65,1175.39,4750286,5583438163,124738,1232862,25.95
TATASTEEL,EQ,26-Nov-21,1173.65,1157.9,1159.5,1106.25,1110.25,1112.3,1127.98,10645526,12007942479,283059,2935379,27.57
TATASTEEL,EQ,29-Nov-21,1112.3,1112.3,1137,1075.05,1109.9,1114.75,1115.07,9392991,10473859931,238792,2147733,22.87
TATASTEEL,EQ,30-Nov-21,1114.75,1110.95,1127.9,1063,1070.1,1071.2,1092.87,13355984,14596419159,290056,5658219,42.36
TATASTEEL,EQ,01-Dec-21,1071.2,1092,1097,1066.5,1082,1082.55,1080.06,9379114,10129980506,277289,3477262,37.07
TATASTEEL,EQ,02-Dec-21,1082.55,1083,1116,1074,1112.95,1112.4,1093.21,9128681,9979555833,229986,2221652,24.34
TATASTEEL,EQ,03-Dec-21,1112.4,1115,1134.2,1102.25,1114.65,1118,1119.73,10073784,11279894784,215675,2008044,19.93
TATASTEEL,EQ,06-Dec-21,1118,1114,1141,1102.2,1107.65,1108.8,1122.08,8215940,9218970570,202827,1627905,19.81
TATASTEEL,EQ,07-Dec-21,1108.8,1121.1,1155.55,1121,1152.85,1148.8,1140.75,8505390,9702509839,204352,1712028,20.13
TATASTEEL,EQ,08-Dec-21,1148.8,1159,1177,1149,1174.75,1173,1166.19,7448501,8686359029,170954,2103842,28.25
TATASTEEL,EQ,09-Dec-21,1173,1182,1182,1159,1177,1176.85,1170.78,5212394,6102560473,122011,981109,18.82
TATASTEEL,EQ,10-Dec-21,1176.85,1173.45,1188.9,1167.6,1178,1180,1178.81,4812130,5672591862,135427,1145885,23.81
TATASTEEL,EQ,13-Dec-21,1180,1188,1199,1161.65,1167.2,1165.3,1180.37,5353778,6319423485,142697,1829206,34.17
TATASTEEL,EQ,14-Dec-21,1165.3,1158.95,1177.9,1147,1165.7,1167.2,1164.62,5352264,6233369922,145202,1215107,22.7
TATASTEEL,EQ,15-Dec-21,1167.2,1170.05,1175.6,1149,1150.4,1154.05,1163.31,4430833,5154444409,136268,1455275,32.84
TATASTEEL,EQ,16-Dec-21,1154.05,1164,1168.8,1143.55,1156.15,1153.2,1157.44,4246008,4914506125,115354,1300937,30.64
TATASTEEL,EQ,17-Dec-21,1153.2,1154,1158.85,1125,1131.95,1132.1,1136.98,4743502,5393272365,136063,1305257,27.52
TATASTEEL,EQ,20-Dec-21,1132.1,1117,1117.2,1066.05,1073,1072.95,1082.82,7352650,7961618862,236252,2370671,32.24
TATASTEEL,EQ,21-Dec-21,1072.95,1090,1124.25,1085,1108.85,1105.1,1109.16,7026849,7793906415,171193,1594912,22.7
TATASTEEL,EQ,22-Dec-21,1105.1,1115,1131,1110,1130,1128.85,1123.02,4366917,4904148512,114115,1005289,23.02
TATASTEEL,EQ,23-Dec-21,1128.85,1138,1146.8,1120.2,1126.45,1127.65,1134.88,4621478,5244827387,114823,1226564,26.54
TATASTEEL,EQ,24-Dec-21,1127.65,1130.05,1133.45,1103.85,1117,1115.45,1115.11,4093630,4564828880,96182,824805,20.15
TATASTEEL,EQ,27-Dec-21,1115.45,1111.05,1124.7,1102.35,1124,1121.8,1114.49,2758851,3074721063,74732,368587,13.36
TATASTEEL,EQ,28-Dec-21,1121.8,1127,1131.5,1122,1127,1127.45,1127.24,2880781,3247337620,108720,1134146,39.37
TATASTEEL,EQ,29-Dec-21,1127.45,1120,1126.65,1108,1115.75,1116.25,1115.35,4193520,4677259769,145576,1651673,39.39
TATASTEEL,EQ,30-Dec-21,1116.25,1117.9,1127,1099,1101.15,1101,1110.09,4114093,4567032963,102093,1509421,36.69
TATASTEEL,EQ,31-Dec-21,1101,1105,1123.5,1102.65,1112.4,1111.45,1115.49,3687021,4112828901,94613,1171618,31.78
TATASTEEL,EQ,03-Jan-22,1111.45,1115,1151,1115,1150,1142.45,1129.46,3865803,4366279502,87982,1215520,31.44
TATASTEEL,EQ,04-Jan-22,1142.45,1153,1159.7,1136.5,1148.05,1148.8,1147.81,5975731,6859026650,125400,1733910,29.02
TATASTEEL,EQ,05-Jan-22,1148.8,1147,1180.8,1141.25,1176,1177.6,1166.6,6186176,7216800113,134032,1997541,32.29
TATASTEEL,EQ,06-Jan-22,1177.6,1172,1183,1155.55,1161.5,1163.25,1166.83,5335400,6225489082,133187,1440528,27
TATASTEEL,EQ,07-Jan-22,1163.25,1165.2,1174,1147.85,1158.15,1160.35,1160.62,3973857,4612154157,87679,1167664,29.38
TATASTEEL,EQ,10-Jan-22,1160.35,1165,1173.4,1153.85,1168,1169.05,1165.95,3822500,4456832468,124004,1331943,34.84
TATASTEEL,EQ,11-Jan-22,1169.05,1158.65,1162.7,1113,1134.9,1130.25,1137.02,9697885,11026712679,245197,3285797,33.88
TATASTEEL,EQ,12-Jan-22,1130.25,1139.85,1150.8,1132.4,1147.8,1147.2,1142.13,5035843,5751572117,139132,1525010,30.28
TATASTEEL,EQ,13-Jan-22,1147.2,1154,1225.5,1152.15,1219,1221.15,1200.08,15723116,18868961106,350847,4326987,27.52
TATASTEEL,EQ,14-Jan-22,1221.15,1213,1226.3,1206.1,1211,1213.6,1215.42,5267907,6402740873,162565,1290762,24.5
TATASTEEL,EQ,17-Jan-22,1213.6,1215,1245,1190.35,1230.8,1229.75,1221.77,8969607,10958788426,202840,2210957,24.65
TATASTEEL,EQ,18-Jan-22,1229.75,1230,1233.75,1190,1196.95,1194.85,1209.8,5840897,7066337358,150353,1797537,30.78
TATASTEEL,EQ,19-Jan-22,1194.85,1196,1220.9,1183,1208,1209.6,1204.89,7304321,8800884093,186907,1335466,18.28
TATASTEEL,EQ,20-Jan-22,1209.6,1210.1,1224,1197,1209.9,1206.7,1212.03,5920597,7175912864,159207,1526225,25.78
TATASTEEL,EQ,21-Jan-22,1206.7,1200,1204.3,1156.35,1169.1,1169.7,1177.49,7166267,8438184184,170921,2048736,28.59
TATASTEEL,EQ,24-Jan-22,1169.7,1160,1163.65,1090,1100.5,1099.2,1121.02,8392076,9407699634,279320,1468792,29.1
TATASTEEL,EQ,25-Jan-22,1099.2,1094.7,1121,1087.05,1105.95,1109.1,1107.84,5733063,6351334529,206703,1555235,27.13
TATASTEEL,EQ,27-Jan-22,1109.1,1090,1103.45,1061.3,1090.65,1088.35,1082.03,9056656,9799578272,271554,2244835,24.79
TATASTEEL,EQ,28-Jan-22,1088.35,1105.85,1125.75,1080.95,1086,1084.65,1108.99,7864893,8722067779,192376,2044249,25.99
TATASTEEL,EQ,31-Jan-22,1084.65,1109.9,1114.6,1080.5,1085,1085.55,1096.19,5570939,6106808797,172294,1283038,23.03
TATASTEEL,EQ,01-Feb-22,1085.55,1104.9,1174.45,1086.4,1166.55,1167.35,1134.27,17075268,19367952077,364400,3122607,18.29
TATASTEEL,EQ,02-Feb-22,1167.35,1179.9,1179.9,1158.3,1168,1167.5,1166.61,7524734,8778450173,178662,1633416,21.71
TATASTEEL,EQ,03-Feb-22,1167.5,1153,1181.7,1146.3,1163,1166.6,1169.68,6514090,7619418044,151104,916256,14.07
TATASTEEL,EQ,04-Feb-22,1166.6,1173.8,1197.75,1170.25,1174.4,1176.3,1184.03,9317418,11032097305,212738,1565436,16.8
TATASTEEL,EQ,07-Feb-22,1176.3,1168.3,1214.6,1161,1184.95,1183,1194.31,14510525,17330102164,321698,2468210,17.01
TATASTEEL,EQ,08-Feb-22,1183,1195,1222.4,1171.5,1219.5,1219.6,1202.55,14083984,16936657067,316614,3087211,21.92
TATASTEEL,EQ,09-Feb-22,1219.6,1231,1234,1208.15,1218,1222.35,1219.8,7352060,8968009894,167342,1841908,25.05
TATASTEEL,EQ,10-Feb-22,1222.35,1230,1254.25,1226,1247.3,1248.35,1244.12,9392057,11684809977,222188,3046067,32.43
TATASTEEL,EQ,11-Feb-22,1248.35,1239,1264.95,1233.1,1251.8,1254.45,1252.44,9676226,12118883255,211755,2754991,28.47
TATASTEEL,EQ,14-Feb-22,1254.45,1220.1,1227.75,1180.1,1183.25,1186.85,1202.85,8021613,9648820655,211234,2007705,25.03
TATASTEEL,EQ,15-Feb-22,1186.85,1196.85,1212,1151.55,1204.95,1207.75,1179.18,10188921,12014582504,238309,1466994,14.4
TATASTEEL,EQ,16-Feb-22,1207.75,1215,1217.9,1186.5,1187.95,1191.8,1199.11,6609214,7925141990,171088,1034623,15.65
TATASTEEL,EQ,17-Feb-22,1191.8,1201.1,1209.5,1186.15,1190,1190.95,1197.29,5655792,6771643721,117118,1080967,19.11
TATASTEEL,EQ,18-Feb-22,1190.95,1187,1205,1183,1191,1190.8,1196.74,4725120,5654746884,119821,834039,17.65
TATASTEEL,EQ,21-Feb-22,1190.8,1188,1202,1174.4,1181,1181.85,1188.32,4978732,5916328122,117333,587877,11.81
TATASTEEL,EQ,22-Feb-22,1181.85,1158,1166.65,1119.25,1134,1138.7,1141.03,9385857,10709565887,222627,2078541,22.15
TATASTEEL,EQ,23-Feb-22,1138.7,1148,1152.6,1134,1137.9,1139,1143.6,4960838,5673217190,129498,738406,14.88
TATASTEEL,EQ,24-Feb-22,1139,1094,1119.95,1067.1,1079,1074,1095.75,12126867,13288073811,324643,3660968,30.19
TATASTEEL,EQ,25-Feb-22,1074,1097.7,1150.7,1095.6,1144.95,1145.35,1136.16,9212886,10467347648,226899,2433231,26.41
TATASTEEL,EQ,28-Feb-22,1145.35,1134,1225,1129.2,1217.9,1220.75,1196.83,17605446,21070773518,408543,5556479,31.56
TATASTEEL,EQ,02-Mar-22,1220.75,1220.75,1299.6,1218.55,1288.75,1289.35,1280.64,24847532,31820691228,612717,9784999,39.38
TATASTEEL,EQ,03-Mar-22,1289.35,1306,1328.65,1293.65,1303,1303.3,1309.97,17450338,22859407692,528049,5496440,31.5
