"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Aug-2022","EQ","107.05","107.90","105.75","106.55","106.50","106.25","106.98","1,476.00","97.15",42186335,"4,513,082,704.70",172570
"24-Aug-2022","EQ","107.55","108.15","105.75","107.60","106.30","106.55","106.69","1,476.00","97.15",55686404,"5,941,287,674.10",247974
"23-Aug-2022","EQ","104.20","108.25","103.50","105.05","107.90","107.60","106.67","1,476.00","97.15",70531639,"7,523,872,406.95",262215
"22-Aug-2022","EQ","109.50","109.60","104.70","110.05","105.20","105.05","106.79","1,476.00","97.15",74037526,"7,906,795,316.15",402941
"19-Aug-2022","EQ","112.55","112.90","109.55","112.55","109.75","110.05","111.08","1,534.50","97.15",57134813,"6,346,785,640.60",227022
"18-Aug-2022","EQ","112.50","113.00","111.40","112.50","112.70","112.55","112.33","1,534.50","97.15",49396425,"5,548,515,767.75",179401
"17-Aug-2022","EQ","113.50","113.50","112.25","113.00","112.40","112.50","112.85","1,534.50","97.15",54008422,"6,094,999,817.65",207669
"16-Aug-2022","EQ","113.70","113.70","111.10","112.65","113.00","113.00","112.55","1,534.50","97.15",69207437,"7,789,100,716.70",238391
"12-Aug-2022","EQ","109.35","112.90","108.80","109.10","112.80","112.65","111.88","1,534.50","97.15",95942333,"10,733,610,778.10",307921
"11-Aug-2022","EQ","110.30","110.65","108.60","109.20","109.00","109.10","109.49","1,534.50","97.15",75321498,"8,247,181,079.65",215699
"10-Aug-2022","EQ","107.90","109.90","106.50","107.20","109.20","109.20","108.23","1,534.50","97.15",73880698,"7,996,457,230.30",241058
"08-Aug-2022","EQ","107.85","108.15","106.70","107.35","107.25","107.20","107.35","1,534.50","97.15",41384943,"4,442,543,901.95",162485
"05-Aug-2022","EQ","107.65","109.25","107.10","107.70","107.30","107.35","108.04","1,534.50","97.15",54469112,"5,885,013,963.00",179580
"04-Aug-2022","EQ","107.50","109.50","106.05","107.05","107.60","107.70","107.86","1,534.50","97.15",79526154,"8,577,818,116.05",275745
"03-Aug-2022","EQ","107.00","108.45","106.00","107.00","107.10","107.05","106.93","1,534.50","97.15",61428846,"6,568,325,454.70",235976
"02-Aug-2022","EQ","108.00","108.00","105.35","108.25","106.90","107.00","106.84","1,534.50","97.15",64935371,"6,937,671,692.00",279505
"01-Aug-2022","EQ","110.50","111.45","106.15","107.60","108.25","108.25","108.42","1,534.50","97.15",125365761,"13,592,194,355.85",468883
"29-Jul-2022","EQ","103.00","109.30","102.15","100.35","107.80","107.60","106.71","1,534.50","97.15",166959934,"17,816,038,805.05",618198
"28-Jul-2022","EQ","98.10","102.00","97.15","959.40","100.20","100.35","99.48","1,534.50","97.15",137156107,"13,644,336,927.10",628262
"27-Jul-2022","EQ","951.00","961.55","943.60","949.50","960.40","959.40","953.43","1,534.50","827.00",5255902,"5,011,119,637.70",144783
"26-Jul-2022","EQ","972.00","976.70","946.05","960.70","947.95","949.50","959.86","1,534.50","827.00",12626469,"12,119,595,065.95",228226
"25-Jul-2022","EQ","935.00","964.85","933.60","936.05","964.70","960.70","955.02","1,534.50","827.00",9963563,"9,515,399,224.15",205117